data: Friday 28th of June 2013 10:55:52 AM
data: Friday 28th of June 2013 10:57:03 AM - 0
data: Friday 28th of June 2013 10:57:30 AM -  | Vendég | 0 | 0 | 0 |  | 0
data: 92.25.24.109 / Sunday 24th of August 2014 06:08:18 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 92.25.24.109 / Sunday 24th of August 2014 06:08:56 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 92.25.24.109 / Sunday 24th of August 2014 06:11:01 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 92.25.24.109 / Sunday 24th of August 2014 06:14:12 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 92.25.24.109 / Sunday 24th of August 2014 06:14:20 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 92.25.24.109 / Sunday 24th of August 2014 06:14:22 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 92.25.24.109 / Sunday 24th of August 2014 06:16:03 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 92.25.24.109 / Sunday 24th of August 2014 06:16:09 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 92.25.24.109 / Sunday 24th of August 2014 06:17:39 PM -  | name->VendÃ©g | id->2 | fid->0 | score->0 | time-> | lastTime->0
data: 92.25.24.109 / Sunday 24th of August 2014 06:19:05 PM -  | name->VendÃ©g | id->3 | fid->0 | score->0 | time-> | lastTime->0
data: 84.3.64.120 / Sunday 24th of August 2014 06:21:12 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 86.101.227.17 / Monday 25th of August 2014 11:08:16 AM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 109.74.48.1 / Tuesday 26th of August 2014 12:00:25 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 91.83.29.79 / Wednesday 27th of August 2014 07:25:09 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 91.82.179.215 / Thursday 28th of August 2014 07:49:43 AM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 92.24.101.224 / Saturday 30th of August 2014 12:16:32 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 92.24.101.224 / Saturday 30th of August 2014 12:17:12 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 92.24.101.224 / Saturday 30th of August 2014 12:42:48 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 92.24.101.224 / Saturday 30th of August 2014 12:42:52 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 92.24.101.224 / Saturday 30th of August 2014 12:45:34 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: 92.24.101.224 / Saturday 30th of August 2014 12:49:09 PM -  | name->VendÃ©g | id->2 | fid->0 | score->0 | time-> | lastTime->0
data: 92.24.101.224 / Saturday 30th of August 2014 12:49:13 PM -  | name->VendÃ©g | id->2 | fid->0 | score->0 | time-> | lastTime->0
data: 92.24.101.224 / Saturday 30th of August 2014 12:49:20 PM -  | name->VendÃ©g | id->2 | fid->0 | score->0 | time-> | lastTime->0
data: 92.24.101.224 / Saturday 30th of August 2014 12:55:34 PM -  | name->VendÃ©g | id->2 | fid->0 | score->0 | time-> | lastTime->0
data: 92.24.101.224 / Sunday 31st of August 2014 03:07:40 PM -  | name->VendÃ©g | id->2 | fid->0 | score->0 | time-> | lastTime->0
data: 92.24.101.224 / Sunday 31st of August 2014 03:08:18 PM -  | name->VendÃ©g | id->2 | fid->0 | score->0 | time-> | lastTime->0
data: 92.24.101.224 / Sunday 31st of August 2014 03:31:58 PM -  | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: Sun Aug 31 2014 14:36:31 GMT+0100 (BST) Player: | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
data: Sun Aug 31 2014 14:43:19 GMT+0100 (BST) Player: | name->VendÃ©g | id->0 | fid->0 | score->0 | time-> | lastTime->0
